track_id, type, traveled_d, avg_speed
_318, Taxi, 346.55, 21.659506
_319, Car, 356.96, 22.310157
_320, Car, 363.46, 11.916745
_321, Car, 193.89, 4.096298
_322, Car, 326.69, 23.242532
_323, Car, 349.45, 13.763758
_324, Motorcycle, 457.44, 39.586283
_325, Taxi, 67.43, 11.559601
_326, Car, 212.27, 11.337956
_327, Motorcycle, 170.33, 21.440484
_328, Car, 51.28, 20.980018
_329, Car, 479.19, 35.939434
_330, Car, 478.83, 37.968607
_331, Motorcycle, 207.14, 13.221623
_332, Taxi, 94.01, 8.767701
_333, Car, 479.90, 40.365426
_334, Taxi, 329.42, 19.765440
_335, Car, 208.84, 16.415616
_336, Taxi, 492.08, 14.059326
_337, Motorcycle, 120.68, 20.493342
_338, Car, 53.81, 18.627579
_339, Motorcycle, 188.12, 38.479078
_340, Car, 488.55, 43.969327
_341, Car, 457.02, 38.987601
_342, Motorcycle, 101.16, 11.239993
_343, Heavy Vehicle, 107.83, 9.608311
_344, Car, 480.96, 42.646800
_345, Taxi, 461.31, 18.051135
_346, Car, 236.59, 12.904835
_347, Motorcycle, 481.93, 41.307960
_348, Car, 206.16, 17.755169
_349, Medium Vehicle, 492.71, 21.898100
_350, Motorcycle, 484.74, 38.951969
_351, Heavy Vehicle, 482.14, 41.326605
_352, Taxi, 481.49, 45.614878
_353, Taxi, 482.03, 44.955871
_354, Car, 104.21, 13.592362
_355, Car, 485.00, 21.555590
_356, Car, 205.92, 17.081275
_357, Car, 487.20, 40.789075
_358, Motorcycle, 238.55, 31.806234
_359, Car, 39.97, 17.986944
_360, Car, 220.78, 21.716209
_361, Car, 103.84, 10.680992
_362, Car, 218.51, 21.611084
_363, Motorcycle, 52.29, 16.513871
_364, Car, 492.31, 31.093496
_365, Motorcycle, 484.62, 42.552107
_366, Car, 485.66, 38.852707
_367, Taxi, 484.20, 33.781048
_368, Car, 484.27, 33.526468
_369, Car, 206.02, 15.074479
_370, Motorcycle, 482.62, 39.667194
_371, Taxi, 483.46, 39.199280
_372, Car, 466.35, 3.239765
_373, Motorcycle, 482.39, 47.709112
_374, Bus, 483.19, 31.512699
_375, Car, 483.91, 36.293412
_376, Motorcycle, 346.77, 15.450356
_377, Motorcycle, 260.28, 1.815930
_378, Car, 479.87, 35.990351
_379, Car, 461.98, 36.958234
_380, Car, 103.51, 20.034155
_381, Motorcycle, 345.31, 15.656261
_382, Car, 494.17, 32.944486
_383, Taxi, 348.26, 15.910315
_384, Car, 490.56, 30.982883
_385, Car, 482.03, 8.239751
_386, Car, 489.76, 33.141941
_387, Car, 365.05, 16.509660
_388, Car, 481.88, 36.909640
_389, Car, 30.65, 15.763784
_390, Car, 236.18, 26.081439
_391, Taxi, 214.77, 14.533558
_392, Motorcycle, 482.09, 22.835654
_393, Car, 358.48, 16.760204
_394, Motorcycle, 340.75, 25.989722
_395, Taxi, 234.10, 16.207206
_396, Taxi, 402.13, 11.118758
_397, Car, 339.26, 2.414630
_398, Medium Vehicle, 339.31, 15.700556
_399, Car, 100.71, 23.240992
_400, Medium Vehicle, 482.63, 22.447870
_401, Taxi, 480.35, 24.017491
_402, Car, 483.35, 23.450928
_403, Car, 37.69, 18.335013
_404, Taxi, 362.10, 15.781568
_405, Car, 219.77, 16.620955
_406, Taxi, 349.08, 18.372385
_407, Motorcycle, 349.75, 21.340870
_408, Car, 348.78, 18.796528
_409, Taxi, 217.08, 17.444095
_410, Car, 281.85, 21.138703
_411, Car, 347.29, 12.731779
_412, Motorcycle, 211.41, 20.794684
_413, Car, 349.29, 12.752963
_414, Car, 73.00, 0.538726
_415, Car, 351.28, 13.283761
_416, Car, 200.19, 13.546905
_417, Motorcycle, 213.55, 25.971998
_418, Motorcycle, 27.54, 6.196385
_419, Car, 199.57, 13.403654
_420, Taxi, 212.24, 12.567053
_421, Car, 450.31, 15.831182
_422, Taxi, 480.99, 35.924575
_423, Car, 212.58, 12.670279
_424, Car, 70.87, 5.933470
_425, Taxi, 236.16, 25.302344
_426, Car, 51.60, 26.535419
_427, Bus, 480.81, 34.618444
_428, Taxi, 481.99, 37.557463
_429, Car, 26.14, 7.841723
_430, Car, 236.83, 25.374639
_431, Motorcycle, 450.58, 52.665779
_432, Motorcycle, 377.92, 17.622992
_433, Car, 385.41, 8.388620
_434, Taxi, 349.18, 16.198915
_435, Car, 482.18, 39.813426
_436, Car, 38.07, 5.271760
_437, Taxi, 489.49, 35.671449
_438, Bus, 483.42, 20.619698
_439, Car, 457.22, 41.565678
_440, Car, 26.55, 5.139627
_441, Car, 211.74, 14.115925
_442, Motorcycle, 239.79, 3.676478
_443, Car, 16.37, 1.592943
_444, Car, 479.89, 38.391411
_445, Taxi, 236.28, 13.853289
_446, Car, 480.83, 20.905849
_447, Bus, 485.39, 13.934590
_448, Car, 51.56, 4.885052
_449, Motorcycle, 489.40, 24.334987
_450, Motorcycle, 480.40, 22.815806
_451, Car, 480.73, 24.103561
_452, Car, 216.67, 16.115796
_453, Car, 215.12, 15.677031
_454, Motorcycle, 98.53, 12.489620
_455, Motorcycle, 15.32, 11.030850
_456, Car, 198.39, 13.128881
_457, Motorcycle, 479.35, 43.577235
_458, Motorcycle, 451.36, 46.425151
_459, Taxi, 479.83, 32.715360
_460, Car, 231.36, 20.615891
_461, Car, 482.67, 31.708074
_462, Car, 214.14, 13.965788
_463, Motorcycle, 234.73, 29.340905
_464, Motorcycle, 356.46, 37.303957
_465, Motorcycle, 345.88, 15.963514
_466, Car, 480.05, 38.065685
_467, Motorcycle, 451.27, 34.712698
_468, Motorcycle, 315.74, 14.995755
_469, Car, 454.29, 38.939188
_470, Motorcycle, 457.22, 21.376444
_471, Car, 455.45, 41.196239
_472, Motorcycle, 480.92, 34.351639
_473, Taxi, 348.21, 16.030211
_474, Motorcycle, 323.10, 6.858319
_475, Car, 198.01, 17.218624
_476, Car, 187.05, 32.066536
_477, Car, 26.02, 8.362233
_478, Motorcycle, 236.83, 15.224633
_479, Car, 50.04, 26.489171
_480, Car, 235.99, 28.701592
_481, Car, 42.25, 1.508858
_482, Bus, 472.05, 20.928295
_483, Car, 217.45, 14.826217
_484, Car, 480.25, 48.024793
_485, Car, 50.66, 30.395103
_486, Car, 477.39, 15.181886
_487, Car, 102.42, 23.337127
_488, Car, 29.18, 2.626536
_489, Car, 210.25, 14.725631
_490, Car, 354.72, 17.303482
_491, Car, 102.38, 23.327531
_492, Motorcycle, 320.49, 20.170830
_493, Car, 103.80, 21.231672
_494, Car, 349.46, 18.889596
_495, Motorcycle, 346.77, 21.824571
_496, Taxi, 348.42, 20.362389
_497, Car, 403.41, 13.348139
_498, Taxi, 347.41, 20.914360
_499, Motorcycle, 180.08, 12.515067
_500, Car, 352.38, 19.337693
_501, Motorcycle, 355.19, 23.679402
_502, Medium Vehicle, 348.15, 20.479386
_503, Motorcycle, 352.06, 27.673199
_504, Motorcycle, 355.96, 13.129651
_505, Medium Vehicle, 354.57, 12.514108
_506, Motorcycle, 259.87, 23.744591
_507, Car, 267.65, 12.745447
_508, Car, 347.69, 13.938740
_509, Car, 353.11, 14.031007
_510, Motorcycle, 272.98, 13.880205
_511, Motorcycle, 451.41, 24.254944
_512, Taxi, 283.99, 11.644441
_513, Car, 50.83, 21.276430
_514, Car, 237.13, 36.172099
_515, Motorcycle, 449.98, 50.941071
_516, Car, 236.18, 22.733535
_517, Heavy Vehicle, 105.20, 11.476375
_518, Car, 228.28, 18.343991
_519, Taxi, 324.47, 13.677710
_520, Taxi, 480.97, 17.177535
_521, Motorcycle, 75.20, 26.540541
_522, Motorcycle, 480.10, 37.410754
_523, Motorcycle, 153.81, 22.148201
_524, Taxi, 402.36, 14.963616
_525, Motorcycle, 482.25, 41.139731
_526, Bus, 105.16, 19.120586
_527, Car, 480.45, 36.184693
_528, Taxi, 454.66, 20.771434
_529, Motorcycle, 449.94, 38.202713
_530, Bus, 480.58, 12.815457
_531, Car, 79.19, 19.797065
_532, Car, 448.32, 25.456522
_533, Car, 81.76, 19.364483
_534, Motorcycle, 293.18, 14.035320
_535, Car, 174.30, 10.818890
_536, Car, 49.77, 27.997382
_537, Taxi, 191.59, 7.891639
_538, Taxi, 209.47, 13.661284
_539, Taxi, 478.35, 43.267447
_540, Car, 480.08, 42.360287
_541, Taxi, 381.53, 13.106053
_542, Taxi, 461.85, 42.414913
_543, Car, 195.15, 7.474018
_544, Motorcycle, 485.39, 43.252482
_545, Car, 263.98, 16.052587
_546, Car, 479.89, 41.330339
_547, Taxi, 487.43, 22.044473
_548, Car, 164.42, 11.791406
_549, Car, 479.69, 21.008522
_550, Taxi, 479.56, 24.044808
_551, Car, 196.89, 7.588916
_552, Car, 197.20, 7.766998
_553, Motorcycle, 183.60, 7.527939
_554, Taxi, 198.44, 7.867491
_555, Car, 266.16, 12.347408
_556, Motorcycle, 61.56, 13.036890
_557, Motorcycle, 99.14, 10.315424
_558, Taxi, 480.54, 36.651065
_559, Car, 207.71, 2.194156
_560, Car, 481.55, 31.405439
_561, Car, 486.42, 28.706476
_562, Taxi, 476.61, 34.592451
_563, Motorcycle, 352.14, 15.926021
_564, Motorcycle, 37.55, 16.898717
_565, Car, 105.72, 25.039229
_566, Car, 360.22, 17.667590
_567, Heavy Vehicle, 169.23, 1.806677
_568, Motorcycle, 356.54, 15.925032
_569, Bus, 482.91, 21.785601
_570, Motorcycle, 350.65, 15.779120
_571, Motorcycle, 333.41, 15.628591
_572, Motorcycle, 489.77, 18.999570
_573, Motorcycle, 42.23, 13.574866
_574, Taxi, 480.49, 38.100850
_575, Motorcycle, 481.03, 35.927580
_576, Car, 355.03, 14.896251
_577, Car, 482.96, 35.195143
_578, Car, 238.39, 16.377774
_579, Car, 481.40, 21.882001
_580, Motorcycle, 236.50, 21.074682
_581, Car, 489.24, 19.397315
_582, Car, 236.26, 20.251208
_583, Car, 385.67, 13.248270
_584, Motorcycle, 352.72, 15.872240
_585, Taxi, 481.84, 18.651759
_586, Taxi, 335.99, 8.494007
_587, Car, 481.30, 34.653336
_588, Taxi, 347.73, 15.009768
_589, Car, 236.86, 13.709184
_590, Car, 263.94, 14.663518
_591, Car, 53.73, 23.028033
_592, Car, 483.29, 19.374484
_593, Car, 350.15, 15.485697
_594, Car, 70.15, 19.730943
_595, Car, 484.16, 19.409573
_596, Car, 204.61, 9.516698
_597, Taxi, 346.74, 17.193810
_598, Taxi, 203.66, 11.279798
_599, Car, 349.56, 16.092279
_600, Motorcycle, 200.15, 9.531054
_601, Taxi, 265.07, 10.843793
_602, Car, 204.50, 11.396316
_603, Taxi, 352.00, 19.799920
_604, Car, 346.94, 12.196989
_605, Car, 345.36, 11.663273
_606, Taxi, 354.62, 19.168692
_607, Motorcycle, 285.87, 11.460115
_608, Car, 358.53, 23.813590
_609, Taxi, 346.04, 13.570043
_610, Motorcycle, 481.49, 33.987389
_611, Motorcycle, 416.98, 5.040766
_612, Motorcycle, 154.26, 18.511461
_613, Taxi, 384.68, 19.233870
_614, Car, 481.28, 30.720313
_615, Motorcycle, 479.87, 35.256097
_616, Taxi, 482.31, 30.040207
_617, Motorcycle, 235.05, 24.598560
_618, Motorcycle, 311.65, 3.823950
_619, Car, 384.39, 19.435373
_620, Motorcycle, 54.82, 20.137140
_621, Heavy Vehicle, 107.84, 21.098743
_622, Car, 483.69, 30.873710
_623, Car, 483.54, 29.504281
_624, Car, 427.95, 17.232971
_625, Motorcycle, 354.45, 14.734642
_626, Car, 14.89, 4.467598
_627, Medium Vehicle, 480.79, 21.159612
_628, Taxi, 384.84, 20.314339
_629, Car, 451.18, 20.770470
_630, Car, 470.80, 21.729130
_631, Taxi, 437.73, 36.143167
_632, Motorcycle, 396.99, 21.588401
_633, Car, 28.46, 7.215425
_634, Car, 467.14, 20.761711
_635, Motorcycle, 32.36, 17.648292
_636, Motorcycle, 222.29, 16.534318
_637, Taxi, 400.77, 18.034828
_638, Motorcycle, 468.07, 19.368370
_639, Car, 39.08, 12.790166
_640, Motorcycle, 279.29, 11.583647
_641, Car, 29.55, 3.545661
_642, Car, 211.54, 19.134681
_643, Motorcycle, 201.09, 28.500928
_644, Car, 185.58, 18.766012
_645, Motorcycle, 191.45, 23.603391
_646, Car, 206.44, 12.857889
_647, Car, 183.12, 11.524733
_648, Medium Vehicle, 467.06, 31.137498
_649, Bus, 467.45, 34.483710
_650, Car, 469.86, 30.204979
_651, Car, 482.97, 31.844019
_652, Motorcycle, 459.86, 39.795297
_653, Taxi, 139.13, 28.784549
_654, Motorcycle, 461.27, 48.554987
_655, Motorcycle, 455.60, 34.749168
_656, Taxi, 237.61, 25.158997
_657, Motorcycle, 190.23, 33.570484
_658, Motorcycle, 227.64, 26.435103
_659, Taxi, 489.42, 21.382602
_660, Motorcycle, 476.75, 47.150816
_661, Medium Vehicle, 256.59, 8.474544
_662, Car, 62.54, 26.804934
_663, Taxi, 455.10, 21.222481
_664, Motorcycle, 50.99, 24.155331
_665, Taxi, 486.90, 36.215631
_666, Taxi, 490.66, 21.593768
_667, Motorcycle, 134.13, 6.781782
_668, Taxi, 210.62, 12.939127
_669, Motorcycle, 473.24, 35.054537
_670, Motorcycle, 50.99, 30.591712
_671, Car, 24.40, 16.268797
_672, Heavy Vehicle, 185.56, 8.107081
_673, Taxi, 279.28, 13.925283
_674, Car, 50.29, 26.623218
_675, Car, 454.57, 25.254127
_676, Car, 265.04, 12.824607
_677, Taxi, 481.60, 20.493648
_678, Motorcycle, 351.43, 18.605310
_679, Car, 489.24, 25.451619
_680, Motorcycle, 279.78, 16.298065
_681, Car, 265.53, 12.577618
_682, Taxi, 50.98, 5.243394
_683, Taxi, 479.69, 22.139685
_684, Car, 200.35, 16.931369
_685, Car, 482.76, 21.350346
_686, Taxi, 280.69, 9.236702
_687, Car, 346.76, 17.532966
_688, Taxi, 349.92, 17.303788
_689, Car, 264.49, 10.969556
_690, Motorcycle, 350.13, 19.944178
_691, Taxi, 350.10, 17.701737
_692, Car, 349.97, 11.998995
_693, Car, 321.02, 12.139441
_694, Motorcycle, 347.50, 23.426738
_695, Taxi, 359.37, 12.758720
_696, Motorcycle, 266.13, 23.030164
_697, Taxi, 317.00, 11.887640
_698, Taxi, 348.65, 12.939651
_699, Car, 24.10, 14.457705
_700, Taxi, 322.18, 12.338888
_701, Motorcycle, 213.43, 13.919056
_702, Motorcycle, 101.19, 24.284755
_703, Car, 479.77, 38.043780
_704, Car, 234.95, 30.207648
_705, Car, 235.63, 33.135854
_706, Car, 480.48, 30.888235
_707, Motorcycle, 480.57, 37.939771
_708, Bus, 478.35, 34.032734
_709, Motorcycle, 454.52, 43.518206
_710, Motorcycle, 489.09, 34.796976
_711, Heavy Vehicle, 212.48, 13.466827
_712, Taxi, 237.48, 28.497696
_713, Car, 481.90, 22.530311
_714, Motorcycle, 460.95, 44.133374
_715, Car, 203.57, 12.548673
_716, Motorcycle, 46.78, 26.311435
_717, Car, 454.60, 33.813376
_718, Motorcycle, 411.86, 36.340967
_719, Car, 477.14, 34.771653
_720, Car, 438.70, 14.787806
_721, Motorcycle, 448.68, 42.730978
_722, Taxi, 479.80, 20.710628
_723, Taxi, 52.86, 4.285780
_724, Taxi, 200.40, 13.213050
_725, Taxi, 234.84, 27.628697
_726, Car, 234.88, 33.289780
_727, Taxi, 201.70, 13.804876
_728, Car, 37.83, 2.960491
_729, Car, 479.44, 21.203867
_730, Motorcycle, 485.23, 40.249191
_731, Car, 449.00, 21.157206
_732, Car, 450.58, 38.620751
_733, Motorcycle, 412.90, 21.114271
_734, Car, 451.06, 21.088488
_735, Car, 385.82, 7.318013
_736, Taxi, 488.55, 22.548558
_737, Car, 449.51, 14.071496
_738, Motorcycle, 92.12, 7.209444
_739, Medium Vehicle, 91.10, 14.259689
_740, Motorcycle, 489.15, 14.625801
_741, Car, 450.60, 16.827318
